Time,PRN,CN0_dBHz,Doppler
0.0,3,36.77,1500
0.0,4,35.46,0
0.0,6,38.67,1250
0.0,9,40.08,2000
0.0,14,37.99,3250
0.0,15,40.21,-2750
0.0,18,43.11,250
0.0,20,35.77,-6000
0.0,21,39.13,250
0.0,22,41.74,1500
0.0,27,39.81,0
0.0,28,35.51,-4750
0.0,29,36.76,-3500
0.5,3,35.09,-4750
0.5,6,36.91,1250
0.5,7,35.14,5500
0.5,9,39.81,2000
0.5,15,41.66,-2750
0.5,17,35.15,-4750
0.5,18,40.61,250
0.5,21,39.79,250
0.5,22,42.52,1500
0.5,27,38.64,0
0.5,28,35.05,1500
0.5,29,37.28,-3500
0.5,32,35.03,-4750
1.0,3,36.88,1500
1.0,6,36.55,1250
1.0,9,40.03,2000
1.0,14,36.87,3250
1.0,15,40.86,-2750
1.0,18,41.42,250
1.0,21,38.31,250
1.0,22,42.47,1500
1.0,27,40.42,0
1.0,29,36.9,-3500
1.5,1,35.03,-2250
1.5,6,37.51,1250
1.5,9,37.81,2250
1.5,14,37.61,3250
1.5,15,41.62,-2750
1.5,17,35.05,-4000
1.5,18,43.03,250
1.5,21,36.8,250
1.5,22,37.55,1250
1.5,26,35.15,250
1.5,30,35.24,5750
2.0,3,38.47,1500
2.0,6,38.91,1250
2.0,9,37.21,2250
2.0,12,35.57,5250
2.0,15,40.31,-2750
2.0,18,42.94,250
2.0,21,40.05,250
2.0,22,38.17,1250
2.0,24,35.74,-3000
2.0,29,36.89,-3500
2.0,30,36.33,1000
2.5,3,37.97,1500
2.5,6,37.1,1250
2.5,9,39.62,2000
2.5,15,43.51,-2750
2.5,17,35.35,2500
2.5,18,42.28,250
2.5,21,39.23,250
2.5,22,43.16,1500
2.5,27,39.05,0
3.0,2,35.07,5250
3.0,3,37.82,1500
3.0,6,37.03,1250
3.0,9,36.69,1750
3.0,11,35.05,1500
3.0,15,41.69,-2750
3.0,18,42.6,250
3.0,21,40.74,250
3.0,22,38.82,1500
3.0,25,35.06,0
3.0,27,39.22,0
3.0,29,38.72,-3500
3.0,30,35.5,-3250
3.0,32,35.02,-4250
3.5,1,35.23,4250
3.5,3,38.14,1500
3.5,6,38.51,1250
3.5,9,38.78,2000
3.5,14,35.46,3250
3.5,15,40.9,-2750
3.5,18,41.16,250
3.5,21,38.2,250
3.5,22,43.29,1500
3.5,23,35.11,5250
3.5,24,35.11,-3500
3.5,27,37.37,0
3.5,29,35.18,-3500
4.0,3,37.31,1500
4.0,6,38.08,1250
4.0,9,39.61,2000
4.0,14,35.51,250
4.0,15,41.43,-2750
4.0,18,42.33,250
4.0,21,38.46,250
4.0,22,38.46,1500
4.0,27,35.22,3500
4.0,29,35.52,-3500
4.5,2,35.29,-4250
4.5,3,37.51,1500
4.5,4,35.43,-3500
4.5,6,35.78,1250
4.5,9,35.82,1750
4.5,12,35.04,5500
4.5,13,35.11,-250
4.5,15,42.06,-2750
4.5,18,40.68,250
4.5,21,39.04,250
4.5,22,42.98,1500
4.5,26,35.18,4250
4.5,29,35.46,-3500
4.5,32,35.23,1500
5.0,3,37.26,1500
5.0,6,36.55,1250
5.0,9,36.97,2250
5.0,10,36.27,-4500
5.0,13,35.33,5500
5.0,14,35.28,3250
5.0,15,39.49,-2750
5.0,18,42.98,250
5.0,21,37.78,250
5.0,22,38.15,1500
5.0,27,38.99,0
5.0,28,35.68,4250
5.0,29,36.72,-3500
5.5,3,35.49,1500
5.5,6,37.71,1250
5.5,9,38.05,2250
5.5,11,35.01,0
5.5,14,36.25,3250
5.5,15,40.39,-2750
5.5,18,42.62,250
5.5,21,39.18,250
5.5,22,38.05,1250
5.5,27,38.72,0
6.0,1,35.74,-4750
6.0,3,37.96,1500
6.0,6,37.02,1250
6.0,9,38.32,2000
6.0,14,36.91,3250
6.0,15,41.4,-2750
6.0,16,35.22,-5000
