Time,PRN,CN0_dBHz,Doppler
0.0,3,40.03,1000
0.0,6,41.43,-500
0.0,7,38.56,2000
0.0,8,35.64,2750
0.0,9,35.3,-4250
0.0,10,37.19,750
0.0,13,41.4,2000
0.0,16,42.76,-2750
0.0,19,40.72,2750
0.0,20,35.55,-3000
0.0,22,35.55,5250
0.0,23,44.33,-500
0.0,24,35.23,-500
0.0,25,35.05,-1500
0.0,31,35.21,250
0.5,3,42.55,750
0.5,6,40.65,-500
0.5,7,39.2,1750
0.5,13,41.71,2000
0.5,16,42.0,-2750
0.5,19,39.38,2500
0.5,20,37.2,-3000
0.5,21,36.02,0
0.5,23,44.03,-500
0.5,25,36.15,2500
1.0,3,41.14,1000
1.0,4,35.7,-2000
1.0,6,41.43,-500
1.0,7,38.93,1750
1.0,10,35.85,750
1.0,11,35.22,5750
1.0,13,42.01,1750
1.0,14,35.08,3000
1.0,16,41.56,-2750
1.0,17,35.0,-3250
1.0,19,38.88,2500
1.0,20,36.34,-3000
1.0,22,35.49,5250
1.0,23,43.98,-500
1.5,3,42.84,750
1.5,6,41.12,-500
1.5,7,38.45,1750
1.5,10,37.12,750
1.5,11,35.55,-4250
1.5,13,42.5,1750
1.5,14,35.16,750
1.5,16,42.54,-2750
1.5,19,39.08,2500
1.5,20,37.32,-3000
1.5,22,35.48,-5250
1.5,23,44.33,-500
2.0,3,39.79,1000
2.0,6,41.52,-500
2.0,7,38.74,1750
2.0,10,35.85,750
2.0,13,42.09,1750
2.0,16,42.1,-2750
2.0,19,39.03,2750
2.0,20,35.9,-3000
2.0,23,43.27,-500
2.0,25,35.22,4750
2.0,27,35.01,5000
2.0,29,35.09,2250
2.5,3,43.22,750
2.5,6,42.29,-500
2.5,7,38.38,1750
2.5,10,35.75,750
2.5,13,41.25,1750
2.5,16,43.36,-2750
2.5,17,35.07,0
2.5,19,39.92,2500
2.5,20,38.04,-3000
2.5,21,35.66,5250
2.5,23,43.82,-500
3.0,3,40.06,500
3.0,6,42.61,-500
3.0,7,40.11,1750
3.0,10,38.11,750
3.0,13,40.86,2000
3.0,16,42.53,-2750
3.0,19,40.24,2500
3.0,20,35.02,-3000
3.0,22,35.04,-2000
3.0,23,43.72,-500
3.0,30,35.66,-3250
3.5,3,43.48,750
3.5,4,35.19,2500
3.5,6,42.97,-500
3.5,7,40.23,1750
3.5,9,35.15,5750
3.5,10,35.58,750
3.5,11,35.51,4500
3.5,13,42.79,1750
3.5,16,42.45,-2750
3.5,19,39.76,2750
3.5,20,36.15,3750
3.5,23,44.45,-500
3.5,27,35.18,-4250
3.5,28,35.04,1000
3.5,29,35.1,1250
3.5,32,35.18,3750
4.0,3,43.13,750
4.0,6,41.24,-500
4.0,7,37.8,2000
4.0,10,35.18,750
4.0,13,41.67,1750
4.0,16,42.89,-2750
4.0,19,39.69,2500
4.0,23,44.06,-500
4.0,25,35.24,-750
4.0,30,36.02,-3250
4.0,32,35.08,3750
4.5,3,41.67,1000
4.5,6,41.77,-500
4.5,7,39.66,1750
4.5,13,42.88,1750
4.5,16,42.41,-2750
4.5,18,35.02,5250
4.5,19,39.58,2750
4.5,23,44.02,-500
4.5,30,35.04,-3250
4.5,31,35.57,-4000
5.0,3,40.09,1000
5.0,6,40.61,-500
5.0,7,38.44,1750
5.0,10,37.02,750
5.0,13,40.81,2000
5.0,16,42.7,-2750
5.0,19,36.77,2500
5.0,20,37.46,-3000
5.0,23,43.63,-500
5.0,24,35.31,-6000
5.0,25,35.96,0
5.0,30,35.27,-5250
5.5,3,43.66,750
5.5,6,40.94,-500
5.5,7,40.4,1750
5.5,8,35.67,5500
5.5,13,41.77,1750
5.5,16,41.6,-2750
5.5,18,35.35,-5500
5.5,19,39.4,2750
5.5,23,43.16,-500
5.5,26,35.04,-3500
5.5,27,35.11,5750
5.5,30,35.37,-3250
5.5,32,35.03,2750
6.0,2,35.68,-5500
6.0,3,42.42,750
6.0,6,41.25,-500
6.0,7,40.76,1750
6.0,10,36.43,750
6.0,13,42.1,1750
6.0,16,43.65,-2750
6.0,19,38.2,2500
6.0,20,36.33,-3000
6.0,22,35.39,-5500
6.0,23,43.77,-500
6.0,30,36.32,-3250
6.5,3,43.26,750
6.5,6,42.97,-500
6.5,7,40.35,1750
6.5,8,35.35,4750
6.5,10,35.57,750
6.5,13,41.05,1750
6.5,15,35.3,750
6.5,16,42.32,-2750
6.5,18,35.07,5500
6.5,19,38.62,2500
6.5,20,38.49,-3000
6.5,23,42.92,-500
6.5,25,35.29,-1500
6.5,30,36.35,-3250
7.0,3,40.83,1000
7.0,6,42.14,-500
7.0,7,38.12,1750
7.0,8,35.23,1500
7.0,11,35.42,-5500
7.0,13,41.36,1750
7.0,14,35.2,1500
7.0,15,35.06,-500
7.0,16,41.62,-2750
7.0,19,37.77,2750
7.0,20,37.42,-3000
7.0,23,43.7,-500
7.5,3,40.29,1000
7.5,6,41.4,-500
