Time,PRN,CN0_dBHz,Doppler
0.0,6,38.93,1250
0.0,7,35.0,4000
0.0,9,41.1,2000
0.0,14,35.7,5500
0.0,15,42.25,-2750
0.0,18,42.76,250
0.0,19,36.1,-750
0.0,21,39.94,250
0.0,22,42.44,1500
0.0,24,35.02,5000
0.0,27,37.99,0
0.0,29,37.39,-3500
0.5,3,35.44,1500
0.5,6,36.79,1250
0.5,9,39.91,2000
0.5,15,43.44,-2750
0.5,17,35.11,-1000
0.5,18,41.92,250
0.5,21,37.52,250
0.5,22,42.23,1500
0.5,27,38.91,0
0.5,29,36.08,-3500
0.5,32,35.15,-2750
1.0,2,35.12,250
1.0,3,38.14,1500
1.0,6,36.87,1250
1.0,9,39.31,2000
1.0,11,35.06,250
1.0,14,35.72,3250
1.0,15,42.18,-2750
1.0,16,35.42,-3500
1.0,18,42.61,250
1.0,20,35.05,-1750
1.0,21,37.74,250
1.0,22,42.91,1500
1.0,24,35.57,-3750
1.0,27,40.08,0
1.0,29,36.87,-3500
1.5,2,35.03,3250
1.5,3,36.14,1500
1.5,6,37.64,1250
1.5,8,35.2,-5000
1.5,9,40.7,2000
1.5,10,35.48,-5750
1.5,13,35.35,1000
1.5,15,42.12,-2750
1.5,18,43.33,250
1.5,21,39.31,250
1.5,22,42.03,1500
1.5,27,37.47,0
1.5,29,36.69,-3500
2.0,3,36.47,1500
2.0,4,35.19,3250
2.0,6,36.29,1250
2.0,9,39.09,2000
2.0,15,42.05,-2750
2.0,18,42.64,250
2.0,21,39.91,250
2.0,22,42.59,1500
2.0,23,35.31,3750
2.0,25,35.7,-500
2.0,27,37.2,0
2.0,29,37.4,-3500
2.5,1,35.08,-2000
2.5,3,36.08,1500
2.5,6,36.9,1250
2.5,9,39.06,2000
2.5,12,35.08,3750
2.5,14,36.35,3250
2.5,15,42.19,-2750
2.5,18,41.46,250
2.5,20,35.14,-3250
2.5,21,39.65,250
2.5,22,42.17,1500
2.5,27,37.35,0
2.5,29,36.9,-3500
3.0,2,35.36,500
3.0,3,36.69,1500
3.0,6,37.15,1250
3.0,9,38.96,2000
3.0,10,35.62,-2250
3.0,11,35.36,-3250
3.0,15,41.91,-2750
3.0,18,43.02,250
3.0,19,35.24,-5500
3.0,21,36.99,250
3.0,22,43.46,1500
3.0,26,35.58,3000
3.0,27,39.79,0
3.5,4,35.23,1000
3.5,5,35.2,3000
3.5,6,37.91,1250
3.5,9,38.88,2000
3.5,10,35.02,3000
3.5,15,41.25,-2750
3.5,18,42.38,250
3.5,21,39.29,250
3.5,22,42.38,1500
3.5,27,38.72,0
3.5,29,35.81,-3500
4.0,3,36.41,1500
4.0,6,38.59,1250
4.0,9,39.6,2000
4.0,15,41.35,-2750
4.0,17,35.11,-4750
4.0,18,42.23,250
4.0,21,39.68,250
4.0,22,42.24,1500
4.0,25,35.09,-5500
4.0,27,39.69,0
4.0,29,35.02,-3500
4.5,2,35.09,250
4.5,3,37.15,1500
4.5,5,35.68,-1750
4.5,6,38.65,1250
4.5,9,40.42,2000
4.5,15,41.85,-2750
4.5,16,35.2,-1500
4.5,18,42.36,250
4.5,21,39.35,250
4.5,22,42.91,1500
4.5,27,38.17,0
4.5,29,38.63,-3500
4.5,32,35.46,1500
5.0,2,35.77,5500
5.0,3,36.42,1500
5.0,5,35.66,-4250
5.0,6,38.04,1250
5.0,9,38.5,2000
5.0,15,40.5,-2750
5.0,17,35.65,-4750
5.0,18,42.58,250
